GID	Pathway	Pathway_Name	Pathway_Class
MD00G1036600	ko04075	Plant hormone signal transduction	Environmental Information Processing
MD00G1037000	ko03015	mRNA surveillance pathway	Genetic Information Processing
MD00G1037000	ko05164	Influenza A	Human Diseases
MD00G1037100	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism
MD00G1037100	ko02024	Quorum sensing	Cellular Processes
MD00G1038100	ko04010	MAPK signaling pathway	Environmental Information Processing
MD00G1038100	ko04064	NF-kappa B signaling pathway	Environmental Information Processing
MD00G1038100	ko04620	Toll-like receptor signaling pathway	Organismal Systems
MD00G1038100	ko04624	Toll and Imd signaling pathway	Organismal Systems
MD00G1038100	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD00G1038100	ko05133	Pertussis	Human Diseases
MD00G1038100	ko05152	Tuberculosis	Human Diseases
MD00G1038100	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD00G1038100	ko05162	Measles	Human Diseases
MD00G1038100	ko05169	Epstein-Barr virus infection	Human Diseases
MD00G1038100	ko05145	Toxoplasmosis	Human Diseases
MD00G1038100	ko05140	Leishmaniasis	Human Diseases
MD00G1038100	ko05142	Chagas disease (American trypanosomiasis)	Human Diseases
MD00G1038400	ko00592	alpha-Linolenic acid metabolism	Metabolism
MD00G1038600	ko04714	Thermogenesis	Organismal Systems
MD00G1040000	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD00G1040000	ko00030	Pentose phosphate pathway	Metabolism
MD00G1040000	ko00051	Fructose and mannose metabolism	Metabolism
MD00G1040000	ko00710	Carbon fixation in photosynthetic organisms	Metabolism
MD00G1040000	ko00680	Methane metabolism	Metabolism
MD00G1040900	ko00562	Inositol phosphate metabolism	Metabolism
MD00G1040900	ko00521	Streptomycin biosynthesis	Metabolism
MD00G1041200	ko04216	Ferroptosis	Cellular Processes
MD00G1041900	ko04714	Thermogenesis	Organismal Systems
MD00G1041900	ko05225	Hepatocellular carcinoma	Human Diseases
MD00G1042000	ko04142	Lysosome	Cellular Processes
MD00G1043500	ko04013	MAPK signaling pathway - fly	Environmental Information Processing
MD00G1043500	ko04068	FoxO signaling pathway	Environmental Information Processing
MD00G1043500	ko04146	Peroxisome	Cellular Processes
MD00G1043500	ko04211	Longevity regulating pathway	Organismal Systems
MD00G1043500	ko04212	Longevity regulating pathway - worm	Organismal Systems
MD00G1043500	ko04213	Longevity regulating pathway - multiple species	Organismal Systems
MD00G1043500	ko05016	Huntington disease	Human Diseases
MD00G1043900	ko04010	MAPK signaling pathway	Environmental Information Processing
MD00G1043900	ko04064	NF-kappa B signaling pathway	Environmental Information Processing
MD00G1043900	ko04620	Toll-like receptor signaling pathway	Organismal Systems
MD00G1043900	ko04624	Toll and Imd signaling pathway	Organismal Systems
MD00G1043900	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD00G1043900	ko05133	Pertussis	Human Diseases
MD00G1043900	ko05152	Tuberculosis	Human Diseases
MD00G1043900	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD00G1043900	ko05162	Measles	Human Diseases
MD00G1043900	ko05169	Epstein-Barr virus infection	Human Diseases
MD00G1043900	ko05145	Toxoplasmosis	Human Diseases
MD00G1043900	ko05140	Leishmaniasis	Human Diseases
MD00G1043900	ko05142	Chagas disease (American trypanosomiasis)	Human Diseases
MD00G1045500	ko00562	Inositol phosphate metabolism	Metabolism
MD00G1045500	ko04068	FoxO signaling pathway	Environmental Information Processing
MD00G1045500	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing
MD00G1045500	ko04071	Sphingolipid signaling pathway	Environmental Information Processing
MD00G1045500	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing
MD00G1045500	ko04150	mTOR signaling pathway	Environmental Information Processing
MD00G1045500	ko04140	Autophagy - animal	Cellular Processes
MD00G1045500	ko04115	p53 signaling pathway	Cellular Processes
MD00G1045500	ko04218	Cellular senescence	Cellular Processes
MD00G1045500	ko04510	Focal adhesion	Cellular Processes
MD00G1045500	ko04212	Longevity regulating pathway - worm	Organismal Systems
MD00G1045500	ko05200	Pathways in cancer	Human Diseases
MD00G1045500	ko05230	Central carbon metabolism in cancer	Human Diseases
MD00G1045500	ko05206	MicroRNAs in cancer	Human Diseases
MD00G1045500	ko05225	Hepatocellular carcinoma	Human Diseases
MD00G1045500	ko05214	Glioma	Human Diseases
MD00G1045500	ko05218	Melanoma	Human Diseases
MD00G1045500	ko05215	Prostate cancer	Human Diseases
MD00G1045500	ko05213	Endometrial cancer	Human Diseases
MD00G1045500	ko05224	Breast cancer	Human Diseases
MD00G1045500	ko05222	Small cell lung cancer	Human Diseases
MD00G1045500	ko04931	Insulin resistance	Human Diseases
MD00G1045500	ko05166	Human T-cell leukemia virus 1 infection	Human Diseases
MD00G1045500	ko05161	Hepatitis B	Human Diseases
MD00G1045500	ko05165	Human papillomavirus infection	Human Diseases
MD00G1045500	ko01521	EGFR tyrosine kinase inhibitor resistance	Human Diseases
MD00G1045600	ko00562	Inositol phosphate metabolism	Metabolism
MD00G1045600	ko04068	FoxO signaling pathway	Environmental Information Processing
MD00G1045600	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing
MD00G1045600	ko04071	Sphingolipid signaling pathway	Environmental Information Processing
MD00G1045600	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing
MD00G1045600	ko04150	mTOR signaling pathway	Environmental Information Processing
MD00G1045600	ko04140	Autophagy - animal	Cellular Processes
MD00G1045600	ko04115	p53 signaling pathway	Cellular Processes
MD00G1045600	ko04218	Cellular senescence	Cellular Processes
MD00G1045600	ko04510	Focal adhesion	Cellular Processes
MD00G1045600	ko04212	Longevity regulating pathway - worm	Organismal Systems
MD00G1045600	ko05200	Pathways in cancer	Human Diseases
MD00G1045600	ko05230	Central carbon metabolism in cancer	Human Diseases
MD00G1045600	ko05206	MicroRNAs in cancer	Human Diseases
MD00G1045600	ko05225	Hepatocellular carcinoma	Human Diseases
MD00G1045600	ko05214	Glioma	Human Diseases
MD00G1045600	ko05218	Melanoma	Human Diseases
MD00G1045600	ko05215	Prostate cancer	Human Diseases
MD00G1045600	ko05213	Endometrial cancer	Human Diseases
MD00G1045600	ko05224	Breast cancer	Human Diseases
MD00G1045600	ko05222	Small cell lung cancer	Human Diseases
MD00G1045600	ko04931	Insulin resistance	Human Diseases
MD00G1045600	ko05166	Human T-cell leukemia virus 1 infection	Human Diseases
MD00G1045600	ko05161	Hepatitis B	Human Diseases
MD00G1045600	ko05165	Human papillomavirus infection	Human Diseases
MD00G1045600	ko01521	EGFR tyrosine kinase inhibitor resistance	Human Diseases
MD00G1047100	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing
MD00G1047600	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing
MD00G1048100	ko04010	MAPK signaling pathway	Environmental Information Processing
MD00G1048100	ko04064	NF-kappa B signaling pathway	Environmental Information Processing
MD00G1048100	ko04620	Toll-like receptor signaling pathway	Organismal Systems
MD00G1048100	ko04624	Toll and Imd signaling pathway	Organismal Systems
MD00G1048100	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD00G1048100	ko05133	Pertussis	Human Diseases
